regiao,uf,municipio,bioma,pontos,lon_min,lat_min,lon_max,lat_max
,,,,3,-49.8600,-29.5200,-40.1400,-19.9800
,,,Amazônia,5,-50.5800,-0.9000,-48.4200,2.1600
Centro-oeste,DF,Brasília,Cerrado,68,-48.2180,-15.9900,-47.3728,-15.5409
Centro-oeste,GO,Abadiânia,Cerrado,2,-48.7800,-16.2000,-48.6000,-16.2000
Centro-oeste,GO,Acreúna,Cerrado,2,-50.4000,-17.4600,-50.2200,-17.4600
Centro-oeste,GO,Adelândia,Cerrado,1,-50.2200,-16.3800,-50.2200,-16.3800
Centro-oeste,GO,Alexânia,Cerrado,3,-48.6000,-16.2000,-48.4200,-16.0200
Centro-oeste,GO,Alto Horizonte,Cerrado,2,-49.5000,-14.2200,-49.3200,-14.2200
Centro-oeste,GO,Alto Paraíso de Goiás,Cerrado,10,-47.8800,-14.4000,-47.1600,-14.0400
Centro-oeste,GO,Alvorada do Norte,Cerrado,4,-46.8000,-14.7600,-46.4400,-14.4000
Centro-oeste,GO,Amaralina,Cerrado,2,-49.8600,-13.8600,-49.5000,-13.8600
Centro-oeste,GO,Amorinópolis,Cerrado,1,-51.1200,-16.5600,-51.1200,-16.5600
Centro-oeste,GO,Anicuns,Cerrado,2,-50.0400,-16.3800,-49.8600,-16.3800
Centro-oeste,GO,Anápolis,Cerrado,4,-49.1400,-16.3800,-48.7800,-16.2000
Centro-oeste,GO,Aparecida do Rio Doce,Cerrado,1,-51.3000,-18.1800,-51.3000,-18.1800
Centro-oeste,GO,Aporé,Cerrado,7,-52.3800,-18.9000,-51.8400,-18.5400
Centro-oeste,GO,Aragarças,Cerrado,1,-52.2000,-16.0200,-52.2000,-16.0200
Centro-oeste,GO,Araguapaz,Cerrado,4,-50.5800,-15.3000,-50.2200,-15.1200
Centro-oeste,GO,Araçu,Cerrado,1,-49.6800,-16.3800,-49.6800,-16.3800
Centro-oeste,GO,Arenópolis,Cerrado,2,-51.6600,-16.3800,-51.4800,-16.2000
