ua,lon,lat,uf,bioma,municipio,lote,data,impedimento,status_derivado,fontes
AC_108,-70.92032,-8.45994,AC,Amazônia,Tarauacá,AC-01,2018/10/19 00:00:00,,medido_completo,ua|uso
AC_109,-70.74003,-8.45983,AC,Amazônia,Tarauacá,AC-01,2018/10/30 00:00:00,,medido_completo,ua|uso
AC_110,-70.56035,-8.45966,AC,Amazônia,Feijó,AC-01,2018/09/19 00:00:00,,medido_completo,ua|uso
AC_111,-70.38034,-8.4598,AC,Amazônia,Feijó,AC-01,2018/09/07 00:00:00,,medido_completo,ua|uso
AC_112,-70.20008,-8.46001,AC,Amazônia,Feijó,AC-01,2018/08/31 00:00:00,,medido_completo,ua|uso
AC_113,-70.02039,-8.45968,AC,Amazônia,Feijó,AC-01,2018/09/05 00:00:00,,medido_completo,ua|uso
AC_114,-69.84021,-8.45991,AC,Amazônia,Feijó,,2018/11/30 00:00:00,,medido_biofisico,ua
AC_115,-69.66039,-8.45968,AC,Amazônia,Feijó,AC-01,2019/01/30 00:00:00,,medido_completo,ua|uso
AC_118,-72.90039,-8.6398,AC,Amazônia,Porto Walter,AC-01,2018/11/20 00:00:00,,medido_completo,ua|uso
AC_119,-72.72026,-8.63983,AC,Amazônia,Porto Walter,AC-01,2018/11/21 00:00:00,,medido_completo,ua|uso
AC_128,-71.10033,-8.63987,AC,Amazônia,Tarauacá,AC-01,2018/10/25 00:00:00,,medido_completo,ua|uso
AC_129,-70.92013,-8.63989,AC,Amazônia,Feijó,AC-01,2018/10/27 00:00:00,,medido_completo,ua|uso
AC_13,-72.90009,-7.55995,AC,Amazônia,Mâncio Lima,AC-01,2018/08/30 00:00:00,,medido_completo,ua|uso
AC_130,-70.74032,-8.63996,AC,Amazônia,Feijó,AC-01,2019/01/18 00:00:00,,medido_completo,ua|uso
AC_133,-70.20047,-8.63966,AC,Amazônia,Feijó,AC-01,2018/11/28 00:00:00,,medido_completo,ua|uso
AC_134,-70.02021,-8.64002,AC,Amazônia,Feijó,AC-01,2018/11/27 00:00:00,,medido_completo,ua|uso
AC_135,-69.84047,-8.63964,AC,Amazônia,Feijó,AC-01,2018/09/04 00:00:00,,medido_completo,ua|uso
AC_136,-69.66041,-8.63969,AC,Amazônia,Feijó,AC-01,2018/08/07 00:00:00,,medido_completo,ua|uso
AC_137,-69.48043,-8.63968,AC,Amazônia,Manoel Urbano,,2018/08/29 00:00:00,,medido_biofisico,ua
AC_138,-69.30035,-8.63968,AC,Amazônia,Manoel Urbano,AC-01,2018/08/17 00:00:00,,medido_completo,ua|uso
AC_14,-72.72047,-7.55969,AC,Amazônia,Cruzeiro do Sul,AC-01,2018/08/17 00:00:00,,medido_completo,ua|uso
AC_140,-72.90031,-8.81982,AC,Amazônia,Marechal Thaumaturgo,AC-01,2018/11/23 00:00:00,,medido_completo,ua|uso
AC_141,-72.72046,-8.81964,AC,Amazônia,Marechal Thaumaturgo,AC-01,2018/11/26 00:00:00,,medido_completo,ua|uso
AC_148,-71.46047,-8.81964,AC,Amazônia,Tarauacá,AC-01,2018/11/18 00:00:00,,medido_completo,ua|uso
AC_149,-71.28041,-8.81974,AC,Amazônia,Tarauacá,AC-01,2018/11/19 00:00:00,,medido_completo,ua|uso
AC_15,-72.54021,-7.56,AC,Amazônia,Cruzeiro do Sul,AC-01,2018/09/10 00:00:00,,medido_completo,ua|uso
AC_150,-71.1002,-8.81982,AC,Amazônia,Feijó,AC-01,2018/10/23 00:00:00,,medido_completo,ua|uso
AC_157,-69.84021,-8.82002,AC,Amazônia,Feijó,AC-01,2019/01/29 00:00:00,,medido_completo,ua|uso
AC_158,-69.66,-8.82,AC,Amazônia,Manoel Urbano,AC-01,,,socioambiental,uso
AC_159,-69.48017,-8.81993,AC,Amazônia,Manoel Urbano,AC-01,2018/08/10 00:00:00,,medido_completo,ua|uso
AC_160,-69.30009,-8.81994,AC,Amazônia,Manoel Urbano,AC-01,2018/08/06 00:00:00,,medido_completo,ua|uso
AC_161,-69.12037,-8.81965,AC,Amazônia,Manoel Urbano,AC-01,2018/11/06 00:00:00,,medido_completo,ua|uso
AC_162,-68.94022,-8.81982,AC,Amazônia,Manoel Urbano,AC-01,2018/11/04 00:00:00,,medido_completo,ua|uso
AC_164,-72.72008,-9.00002,AC,Amazônia,Marechal Thaumaturgo,AC-01,2018/11/25 00:00:00,,medido_completo,ua|uso
AC_172,-71.28028,-9.00002,AC,Amazônia,Feijó,AC-01,2018/11/20 00:00:00,,medido_completo,ua|uso
AC_173,-71.1,-9.0,AC,Amazônia,Feijó,AC-01,,,socioambiental,uso
AC_178,-70.2,-9.0,AC,Amazônia,Santa Rosa do Purus,AC-01,,,socioambiental,uso
AC_179,-70.02046,-8.99965,AC,Amazônia,Santa Rosa do Purus,AC-01,2019/02/15 00:00:00,,medido_completo,ua|uso
AC_180,-69.84027,-8.99993,AC,Amazônia,Manoel Urbano,AC-01,2018/12/07 00:00:00,,medido_completo,ua|uso
AC_181,-69.66023,-8.99995,AC,Amazônia,Manoel Urbano,AC-01,2018/12/04 00:00:00,,medido_completo,ua|uso
AC_182,-69.48002,-8.99997,AC,Amazônia,Manoel Urbano,AC-01,2018/12/09 00:00:00,,medido_completo,ua|uso
AC_183,-69.30026,-8.99969,AC,Amazônia,Manoel Urbano,AC-01,2018/11/10 00:00:00,,medido_completo,ua|uso
AC_184,-69.12021,-8.99976,AC,Amazônia,Sena Madureira,AC-01,2018/08/07 00:00:00,,medido_completo,ua|uso
AC_185,-68.94024,-8.9997,AC,Amazônia,Sena Madureira,AC-01,2018/08/03 00:00:00,,medido_completo,ua|uso
AC_186,-68.76027,-8.99969,AC,Amazônia,Sena Madureira,AC-01,2018/07/31 00:00:00,,medido_completo,ua|uso
AC_19,-73.08015,-7.73987,AC,Amazônia,Rodrigues Alves,AC-01,2018/08/24 00:00:00,,medido_completo,ua|uso
AC_192,-72.00028,-9.17968,AC,Amazônia,Jordão,AC-01,2018/11/03 00:00:00,,medido_completo,ua|uso
AC_193,-71.82034,-9.17975,AC,Amazônia,Jordão,AC-01,2018/11/09 00:00:00,,medido_completo,ua|uso
AC_194,-71.64036,-9.17967,AC,Amazônia,Jordão,AC-01,2019/01/23 00:00:00,,medido_completo,ua|uso
AC_20,-72.90043,-7.73961,AC,Amazônia,Rodrigues Alves,AC-01,2018/08/22 00:00:00,,medido_completo,ua|uso
AC_205,-69.66,-9.18,AC,Amazônia,Manoel Urbano,AC-01,,,socioambiental,uso
AC_206,-69.48,-9.18,AC,Amazônia,Sena Madureira,AC-01,,,socioambiental,uso
AC_208,-69.12042,-9.17977,AC,Amazônia,Sena Madureira,AC-01,2018/12/12 00:00:00,,medido_completo,ua|uso
