ponto_id,conglomerado,regiao,uf,municipio,lon,lat,bioma
13541,AP_270,,,,-50.220001,0.720002,Amazônia
13417,AP_99,,,,-50.579998,2.160002,Amazônia
1715,ES_81,,,,-40.139998,-19.980001,
13764,PA_507,,,,-48.420000,-0.540002,Amazônia
13814,PA_560,,,,-48.420000,-0.720002,Amazônia
13874,PA_619,,,,-48.420000,-0.899998,Amazônia
8145,RS_379,,,,-49.860000,-29.519998,
9191,SC_9,,,,-48.600001,-26.100001,
98,AC_294,Norte,AC,Acrelândia,-67.139998,-9.720002,Amazônia
113,AC_320,Norte,AC,Acrelândia,-66.960002,-9.899998,Amazônia
114,AC_321,Norte,AC,Acrelândia,-66.780001,-9.899998,Amazônia
131,AC_342,Norte,AC,Acrelândia,-66.960002,-10.079999,Amazônia
149,AC_368,Norte,AC,Assis Brasil,-69.660001,-10.440000,Amazônia
164,AC_386,Norte,AC,Assis Brasil,-69.660001,-10.620000,Amazônia
177,AC_403,Norte,AC,Assis Brasil,-69.480000,-10.800001,Amazônia
165,AC_387,Norte,AC,Brasiléia,-69.480000,-10.620000,Amazônia
166,AC_388,Norte,AC,Brasiléia,-69.300000,-10.620000,Amazônia
167,AC_389,Norte,AC,Brasiléia,-69.119999,-10.620000,Amazônia
168,AC_390,Norte,AC,Brasiléia,-68.939999,-10.620000,Amazônia
176,AC_402,Norte,AC,Brasiléia,-69.660001,-10.800001,Amazônia
178,AC_404,Norte,AC,Brasiléia,-69.300000,-10.800001,Amazônia
179,AC_405,Norte,AC,Brasiléia,-69.119999,-10.800001,Amazônia
180,AC_406,Norte,AC,Brasiléia,-68.939999,-10.800001,Amazônia
186,AC_414,Norte,AC,Brasiléia,-68.759998,-10.980001,Amazônia
72,AC_240,Norte,AC,Bujari,-68.220001,-9.360001,Amazônia
81,AC_263,Norte,AC,Bujari,-68.400002,-9.540001,Amazônia
82,AC_264,Norte,AC,Bujari,-68.220001,-9.540001,Amazônia
91,AC_287,Norte,AC,Bujari,-68.400002,-9.720002,Amazônia
92,AC_288,Norte,AC,Bujari,-68.220001,-9.720002,Amazônia
93,AC_289,Norte,AC,Bujari,-68.040001,-9.720002,Amazônia
159,AC_377,Norte,AC,Capixaba,-68.040001,-10.440000,Amazônia
160,AC_378,Norte,AC,Capixaba,-67.860000,-10.440000,Amazônia
174,AC_396,Norte,AC,Capixaba,-67.860000,-10.620000,Amazônia
23,AC_14,Norte,AC,Cruzeiro do Sul,-72.720001,-7.560000,Amazônia
28,AC_15,Norte,AC,Cruzeiro do Sul,-72.540000,-7.560000,Amazônia
63,AC_22,Norte,AC,Cruzeiro do Sul,-72.540000,-7.740001,Amazônia
66,AC_23,Norte,AC,Cruzeiro do Sul,-72.360000,-7.740001,Amazônia
74,AC_25,Norte,AC,Cruzeiro do Sul,-71.999999,-7.740001,Amazônia
145,AC_36,Norte,AC,Cruzeiro do Sul,-72.720001,-7.920001,Amazônia
151,AC_37,Norte,AC,Cruzeiro do Sul,-72.540000,-7.920001,Amazônia
162,AC_38,Norte,AC,Cruzeiro do Sul,-72.360000,-7.920001,Amazônia
200,AC_54,Norte,AC,Cruzeiro do Sul,-73.080002,-8.100002,Amazônia
201,AC_56,Norte,AC,Cruzeiro do Sul,-72.720001,-8.100002,Amazônia
202,AC_57,Norte,AC,Cruzeiro do Sul,-72.540000,-8.100002,Amazônia
203,AC_58,Norte,AC,Cruzeiro do Sul,-72.360000,-8.100002,Amazônia
215,AC_75,Norte,AC,Cruzeiro do Sul,-73.080002,-8.280002,Amazônia
181,AC_407,Norte,AC,Epitaciolândia,-68.759998,-10.800001,Amazônia
182,AC_408,Norte,AC,Epitaciolândia,-68.580002,-10.800001,Amazônia
187,AC_415,Norte,AC,Epitaciolândia,-68.580002,-10.980001,Amazônia
4,AC_110,Norte,AC,Feijó,-70.559999,-8.459998,Amazônia
5,AC_111,Norte,AC,Feijó,-70.379999,-8.459998,Amazônia
6,AC_112,Norte,AC,Feijó,-70.199998,-8.459998,Amazônia
7,AC_113,Norte,AC,Feijó,-70.020002,-8.459998,Amazônia
8,AC_114,Norte,AC,Feijó,-69.840001,-8.459998,Amazônia
9,AC_115,Norte,AC,Feijó,-69.660001,-8.459998,Amazônia
14,AC_129,Norte,AC,Feijó,-70.920000,-8.639999,Amazônia
16,AC_130,Norte,AC,Feijó,-70.740000,-8.639999,Amazônia
17,AC_133,Norte,AC,Feijó,-70.199998,-8.639999,Amazônia
18,AC_134,Norte,AC,Feijó,-70.020002,-8.639999,Amazônia
19,AC_135,Norte,AC,Feijó,-69.840001,-8.639999,Amazônia
20,AC_136,Norte,AC,Feijó,-69.660001,-8.639999,Amazônia
29,AC_150,Norte,AC,Feijó,-71.100001,-8.819999,Amazônia
30,AC_157,Norte,AC,Feijó,-69.840001,-8.819999,Amazônia
38,AC_172,Norte,AC,Feijó,-71.280001,-9.000000,Amazônia
39,AC_173,Norte,AC,Feijó,-71.100001,-9.000000,Amazônia
195,AC_48,Norte,AC,Feijó,-70.559999,-7.920001,Amazônia
196,AC_49,Norte,AC,Feijó,-70.379999,-7.920001,Amazônia
198,AC_50,Norte,AC,Feijó,-70.199998,-7.920001,Amazônia
199,AC_51,Norte,AC,Feijó,-70.020002,-7.920001,Amazônia
212,AC_68,Norte,AC,Feijó,-70.559999,-8.100002,Amazônia
213,AC_70,Norte,AC,Feijó,-70.199998,-8.100002,Amazônia
214,AC_71,Norte,AC,Feijó,-70.020002,-8.100002,Amazônia
221,AC_89,Norte,AC,Feijó,-70.559999,-8.280002,Amazônia
222,AC_90,Norte,AC,Feijó,-70.379999,-8.280002,Amazônia
223,AC_91,Norte,AC,Feijó,-70.199998,-8.280002,Amazônia
224,AC_92,Norte,AC,Feijó,-70.020002,-8.280002,Amazônia
225,AC_93,Norte,AC,Feijó,-69.840001,-8.280002,Amazônia
226,AC_94,Norte,AC,Feijó,-69.660001,-8.280002,Amazônia
51,AC_192,Norte,AC,Jordão,-71.999999,-9.180000,Amazônia
52,AC_193,Norte,AC,Jordão,-71.819998,-9.180000,Amazônia
53,AC_194,Norte,AC,Jordão,-71.639998,-9.180000,Amazônia
64,AC_220,Norte,AC,Jordão,-71.819998,-9.360001,Amazônia
21,AC_137,Norte,AC,Manoel Urbano,-69.480000,-8.639999,Amazônia
22,AC_138,Norte,AC,Manoel Urbano,-69.300000,-8.639999,Amazônia
31,AC_158,Norte,AC,Manoel Urbano,-69.660001,-8.819999,Amazônia
32,AC_159,Norte,AC,Manoel Urbano,-69.480000,-8.819999,Amazônia
33,AC_160,Norte,AC,Manoel Urbano,-69.300000,-8.819999,Amazônia
34,AC_161,Norte,AC,Manoel Urbano,-69.119999,-8.819999,Amazônia
35,AC_162,Norte,AC,Manoel Urbano,-68.939999,-8.819999,Amazônia
43,AC_180,Norte,AC,Manoel Urbano,-69.840001,-9.000000,Amazônia
44,AC_181,Norte,AC,Manoel Urbano,-69.660001,-9.000000,Amazônia
45,AC_182,Norte,AC,Manoel Urbano,-69.480000,-9.000000,Amazônia
46,AC_183,Norte,AC,Manoel Urbano,-69.300000,-9.000000,Amazônia
55,AC_205,Norte,AC,Manoel Urbano,-69.660001,-9.180000,Amazônia
24,AC_140,Norte,AC,Marechal Thaumaturgo,-72.900002,-8.819999,Amazônia
25,AC_141,Norte,AC,Marechal Thaumaturgo,-72.720001,-8.819999,Amazônia
36,AC_164,Norte,AC,Marechal Thaumaturgo,-72.720001,-9.000000,Amazônia
3,AC_11,Norte,AC,Mâncio Lima,-73.259998,-7.560000,Amazônia
