cod_municipio_ibge,nome,uf,nome_norm
1200013,Acrelândia,AC,acrelandia
1200054,Assis Brasil,AC,assis brasil
1200104,Brasiléia,AC,brasileia
1200138,Bujari,AC,bujari
1200179,Capixaba,AC,capixaba
1200203,Cruzeiro do Sul,AC,cruzeiro do sul
1200252,Epitaciolândia,AC,epitaciolandia
1200302,Feijó,AC,feijo
1200328,Jordão,AC,jordao
1200336,Mâncio Lima,AC,mancio lima
1200344,Manoel Urbano,AC,manoel urbano
1200351,Marechal Thaumaturgo,AC,marechal thaumaturgo
1200385,Plácido de Castro,AC,placido de castro
1200807,Porto Acre,AC,porto acre
1200393,Porto Walter,AC,porto walter
1200401,Rio Branco,AC,rio branco
1200427,Rodrigues Alves,AC,rodrigues alves
1200435,Santa Rosa do Purus,AC,santa rosa do purus
1200500,Sena Madureira,AC,sena madureira
1200450,Senador Guiomard,AC,senador guiomard
1200609,Tarauacá,AC,tarauaca
1200708,Xapuri,AC,xapuri
2700102,Água Branca,AL,agua branca
2700201,Anadia,AL,anadia
2700300,Arapiraca,AL,arapiraca
2700409,Atalaia,AL,atalaia
2700508,Barra de Santo Antônio,AL,barra de santo antonio
2700607,Barra de São Miguel,AL,barra de sao miguel
2700706,Batalha,AL,batalha
2700805,Belém,AL,belem
2700904,Belo Monte,AL,belo monte
2701001,Boca da Mata,AL,boca da mata
2701100,Branquinha,AL,branquinha
2701209,Cacimbinhas,AL,cacimbinhas
2701308,Cajueiro,AL,cajueiro
2701357,Campestre,AL,campestre
2701407,Campo Alegre,AL,campo alegre
2701506,Campo Grande,AL,campo grande
2701605,Canapi,AL,canapi
2701704,Capela,AL,capela
2701803,Carneiros,AL,carneiros
2701902,Chã Preta,AL,cha preta
2702009,Coité do Nóia,AL,coite do noia
2702108,Colônia Leopoldina,AL,colonia leopoldina
2702207,Coqueiro Seco,AL,coqueiro seco
2702306,Coruripe,AL,coruripe
2702355,Craíbas,AL,craibas
2702405,Delmiro Gouveia,AL,delmiro gouveia
2702504,Dois Riachos,AL,dois riachos
2702553,Estrela de Alagoas,AL,estrela de alagoas
2702603,Feira Grande,AL,feira grande
2702702,Feliz Deserto,AL,feliz deserto
2702801,Flexeiras,AL,flexeiras
2702900,Girau do Ponciano,AL,girau do ponciano
2703007,Ibateguara,AL,ibateguara
2703106,Igaci,AL,igaci
2703205,Igreja Nova,AL,igreja nova
2703304,Inhapi,AL,inhapi
