tipo,codigo,nome,nome_norm,uf,area_ha,detalhe,sul,oeste,norte,leste
conservacao,0455.33.1783,APA DA FAZENDA DA TAQUARA,apa da fazenda da taquara,RJ,8.69,Área de Proteção Ambiental · Municipal,-22.92446,-43.38559,-22.92148,-43.38098
conservacao,1501.43.4618,APA DA LAGOA DE ITAPEVA,apa da lagoa de itapeva,RS,437.11,Área de Proteção Ambiental · Municipal,-29.42778,-49.8357,-29.37212,-49.77801
conservacao,0455.33.1793,APA DA ORLA MARÍTIMA,apa da orla maritima,RJ,268.3,Área de Proteção Ambiental · Municipal,-23.02382,-43.44808,-22.96302,-43.16562
conservacao,0455.33.1777,APA DA ORLA MARÍTIMA DA BAÍA DE SEPETIBA,apa da orla maritima da baia de sepetiba,RJ,11611.75,Área de Proteção Ambiental · Municipal,-23.08339,-43.79516,-22.898,-43.5301
conservacao,0455.33.1791,APA DA PAISAGEM E DO AREAL DA PRAIA DO PONTAL,apa da paisagem e do areal da praia do pontal,RJ,24.45,Área de Proteção Ambiental · Municipal,-23.03426,-43.48619,-23.0308,-43.47112
conservacao,0455.33.1795,APA DA PEDRA BRANCA,apa da pedra branca,RJ,5387.74,Área de Proteção Ambiental · Municipal,-23.06993,-43.5602,-22.89451,-43.37481
conservacao,0455.33.1796,APA DA PRAINHA,apa da prainha,RJ,157.47,Área de Proteção Ambiental · Municipal,-23.04893,-43.51555,-23.03522,-43.49435
conservacao,0455.33.1764,APA DA SERRA DA CAPOEIRA GRANDE,apa da serra da capoeira grande,RJ,479.02,Área de Proteção Ambiental · Municipal,-22.99416,-43.65247,-22.96886,-43.61292
conservacao,0455.33.1797,APA DA SERRA DOS PRETOS FORROS,apa da serra dos pretos forros,RJ,2715.3,Área de Proteção Ambiental · Municipal,-22.93306,-43.36212,-22.88267,-43.28236
conservacao,0455.33.1824,APA DAS PONTAS DE COPACABANA E ARPOADOR E SEUS ENTORNOS,apa das pontas de copacabana e arpoador e seus entornos,RJ,30.09,Área de Proteção Ambiental · Municipal,-22.99131,-43.1952,-22.98601,-43.1839
conservacao,0455.33.1787,APA DAS TABEBUIAS,apa das tabebuias,RJ,61.76,Área de Proteção Ambiental · Municipal,-23.00572,-43.43461,-22.99709,-43.42089
conservacao,0455.33.1823,APA DE GRUMARI,apa de grumari,RJ,966.56,Área de Proteção Ambiental · Municipal,-23.07681,-43.55895,-23.03353,-43.50286
